epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1619.19,2.97133,8.2881,2.2615,0.05339,0.04376,0.02032,0.00715,3.01474,11.3553,2.60947,0.0700652,0.00332609,0.00332609
2,3270.07,2.92263,7.97473,2.24745,0.12165,0.13177,0.06435,0.01906,3.01289,9.07881,2.54133,0.0400587,0.00665292,0.00665292
3,4923.26,2.82137,7.59727,2.1638,0.12958,0.16944,0.06205,0.02115,2.93488,8.68835,2.37046,0.0100262,0.00995375,0.00995375
4,6720.75,2.78112,7.53209,2.14971,0.31467,0.18406,0.14034,0.05051,2.79236,7.02993,2.19064,0.00991232,0.00991232,0.00991232
5,8417.61,2.71933,7.19396,2.06343,0.27903,0.23292,0.18358,0.0666,2.63468,6.56793,2.123,0.00984449,0.00984449,0.00984449
6,10069.6,2.66868,7.14519,2.04605,0.21161,0.18713,0.12995,0.0497,2.71413,7.64154,2.17345,0.00975773,0.00975773,0.00975773
7,11660.8,2.64163,7.04099,2.0181,0.2163,0.30637,0.1908,0.07871,2.51601,7.44161,2.01254,0.00965239,0.00965239,0.00965239
8,13259.9,2.60468,6.76231,1.95842,0.2222,0.26088,0.15964,0.05414,2.57243,6.92427,2.04848,0.00952889,0.00952889,0.00952889
9,14916.7,2.58296,6.70888,1.95481,0.21765,0.25445,0.19708,0.06893,2.59559,6.45176,2.04641,0.00938772,0.00938772,0.00938772
10,16974.2,2.553,6.57409,1.94006,0.2612,0.30743,0.20847,0.08059,2.51857,6.1081,2.00828,0.00922942,0.00922942,0.00922942
11,18652.8,2.53331,6.56322,1.91047,0.29526,0.25975,0.22438,0.08493,2.5236,6.30148,1.99188,0.00905463,0.00905463,0.00905463
12,20328,2.52741,6.49727,1.89676,0.26726,0.27893,0.21588,0.0852,2.5124,6.12094,1.97808,0.00886404,0.00886404,0.00886404
13,22009,2.49706,6.39761,1.92508,0.20411,0.28817,0.22937,0.08608,2.45875,6.03422,1.94193,0.00865839,0.00865839,0.00865839
14,24128.4,2.47589,6.38713,1.91303,0.2212,0.28265,0.2264,0.08037,2.56936,6.42899,2.05533,0.00843851,0.00843851,0.00843851
15,26181.4,2.458,6.29605,1.88278,0.30103,0.32194,0.23589,0.08707,2.46987,6.18711,1.97016,0.00820525,0.00820525,0.00820525
16,28076,2.43625,6.30983,1.87352,0.24743,0.28926,0.20047,0.08012,2.4994,6.19875,1.96823,0.00795954,0.00795954,0.00795954
17,29992.5,2.46495,6.21911,1.8691,0.24769,0.32427,0.2541,0.10522,2.45787,6.29123,1.95641,0.00770234,0.00770234,0.00770234
18,32107.5,2.44055,6.19615,1.86207,0.34009,0.27657,0.25995,0.10678,2.37186,6.03056,1.90996,0.00743468,0.00743468,0.00743468
19,33779.6,2.40476,6.15887,1.84848,0.27575,0.3161,0.26313,0.10819,2.47345,5.98752,1.95538,0.00715761,0.00715761,0.00715761
20,35427.8,2.37779,6.06505,1.84855,0.27486,0.33571,0.29517,0.11152,2.41827,5.79547,1.89206,0.00687222,0.00687222,0.00687222
21,37084.6,2.39457,6.10108,1.83442,0.2555,0.35599,0.25561,0.10189,2.39985,5.70323,1.91433,0.00657963,0.00657963,0.00657963
22,38736.8,2.39954,6.15185,1.83169,0.32317,0.30193,0.25697,0.09192,2.42597,5.87262,1.90962,0.00628101,0.00628101,0.00628101
23,40399.7,2.38326,6.0222,1.8101,0.30504,0.3245,0.25902,0.093,2.4299,5.88691,1.9117,0.00597754,0.00597754,0.00597754
24,42058.9,2.36303,5.97089,1.80578,0.27091,0.3877,0.28702,0.12045,2.33793,5.62454,1.84458,0.0056704,0.0056704,0.0056704
25,43657.7,2.36893,5.87682,1.79974,0.31888,0.28886,0.27362,0.10012,2.44397,5.91534,1.95089,0.00536081,0.00536081,0.00536081
26,45366.8,2.34905,5.81088,1.78953,0.23383,0.34315,0.26575,0.10746,2.33666,5.7205,1.85459,0.00505,0.00505,0.00505
27,47057,2.30858,5.70538,1.74607,0.29804,0.37936,0.28736,0.11336,2.36237,5.56208,1.89912,0.00473919,0.00473919,0.00473919
28,48768.7,2.30382,5.71138,1.76814,0.31748,0.41263,0.2989,0.12923,2.28864,5.44039,1.81858,0.0044296,0.0044296,0.0044296
